index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct,brand_premium_index,price_retention
413,Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils,Beauty & Hygiene,Skin Care,Nivea,114.8,140.0,Lip Care,4.3,"Nivea Original Care Lip Blam nourishes lips in such a way that they always look and feel their best. With its weightless texture, it makes effective all-around lip care for soft and smooth lips, with no colour. The skin on your lips is much thinner than rest of the body skin, it chaps and peels so easily and hence ideally should be kept moisturised with a lip care product. Nivea Original Lip Balm keeps your lips moisturised for up to 12 hours.",114.8,114.8,18.000000000000004,211.1883908045977,0.82
426,Mischief Avatar Deodorant & Body Spray Perfume For Men,Beauty & Hygiene,Fragrances & Deos,Set Wet,121.0,199.0,Men's Deodorants,3.8,"Are you ready for some mischief? Switch on fun-mode with the Set Wet Mischief Avatar deodorant for men. Be the bright spot of the day - the fun guy who is in every friend circle. If your love giving quirky comebacks, if your jokes and memes get the likes, if your harmless pranks are the talk of town, this men’s deo is perfect for you! Set Wet Mischief Avatar deo with a feisty fragrance with the zesty scent of many spices, whispers of rosewood and a highlight of apples & melon. Make Set Wet your bro. Your avatar is Mischief Avatar.
Set Wet Avatar range of deodorants for men is a burst of colour, energy, and passion that comes with the prime of youth. It is a collection sunny, sporty and charming fragrance for men that are perfectly suited to deliver to your varying avatars. Set Wet Avatar range of deo for men prevent body odour caused by the bacterial breakdown of perspiration in armpits and other areas of the body. This range of deodorant spray for men are perfect for everyday use, and can be used on both body and clothes. Set Wet is a Brand with an agenda of making men feel great again by bringing back confidence in them.",121.0,121.0,39.19597989949749,154.22945454545453,0.6080402010050251
427,Skin Fruits Fruit Moisturising Body Lotion,Beauty & Hygiene,Skin Care,Joy,68.85,81.0,Body Care,4.1,"Joy Skin Fruits Moisturising Body Lotion is an intensive care moisturiser, with Active Fruit Boosters, which moisturises and softens skin leaving no signs of dryness. Enriched with Apple Extracts, jojoba and almond oils, it revitalises skins youthful beauty. It results in softer, silky, younger-looking skin.",68.85,68.85,15.000000000000009,142.73857142857145,0.85
439,Face Wash - White Tea & Chamomile,Beauty & Hygiene,Skin Care,Aroma Magic ,129.5,185.0,Face Care,4.2,"I am 100% free of paraben, soap, alcohol, artificial colouring and fragrance. Deep clean your pores with white tea and soy milk extracts and exfoliating microbeads. Prevent ageing and protect the skin from free radicals. The chamomile essential oil soothes and calms, leaving you fresh and relaxed.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog",129.5,129.5,30.0,395.30018348623855,0.7
448,Black Naturals,Beauty & Hygiene,Hair Care,Garnier,37.0,39.0,Hair Color,4.2,"Garnier Black Naturals is enriched with the goodness of Almond Oil and Black Tea extract Enriched with the goodness of Almond Oil and Black Tea Extract, Garnier Black Naturals is a no-ammonia crème formula that works in just 15 minutes, covers 100% greys and lasts upto 6 weeks.",37.0,37.0,5.128205128205128,151.4924,0.9487179487179487
453,"Face Mask 3-Layer Surgical - Disposable, Anti-Dust & Anti-Pollution, With Earloop",Beauty & Hygiene,Health & Medicine,Octus,79.0,99.0,Face Masks & Safety Gears,3.5,"This face protects your face, nose, mouth, against dust, smoke, ash, pollution and other particulate matter in all weather conditions. It’s soft & super light material does not cause any irritation even after prolonged wearing. The non-woven design provided on the mask filters the air properly and allows it to pass through, letting you breathe even while wearing the mask. This face mask is made up of special multilayer non-woven fabric to ensure an enhanced level of protection from even the smallest particles present in the air. The face mask is great for protecting you from dust, pollution, smoke etc to help you breathe easier and stay germ-free.Disclaimer - We have suspended returns on Face Mask products for the safety of our customers and delivery agents. We will update the policy once the situation has resolved. Thank you for your support and understanding.",79.0,79.0,20.2020202020202,102.0,0.797979797979798
491,Hajmola Maha Candy - Aam+Imli,Beauty & Hygiene,Health & Medicine,Dabur,117.0,130.0,Supplements & Proteins,4.4,"Hajmola Maha Candy is a zingy tangy candy thats fun to have any time of the day. And whats more, it gets your digestive juices working better.
Its a great way to enjoy while staying healthy. The Candys khatta meetha taste is available in two different fun-filled flavours- Albela Aam and Chulbuli Imli  For Beauty tips, tricks & more visitÃ‚ https://bigbasket.blog/",117.0,117.0,10.0,189.05505263157895,0.9
505,Soft & Fresh Soap Bar,Beauty & Hygiene,Bath & Hand Wash,Pears,72.0,72.0,Bathing Bars & Soaps,4.4,"Pears Soft & Fresh Soap is a multi-purpose soap that cleans your skin and keeps it supple all the time. True to its name, the soap gives you a soft and fresh skin instantly.Its active ingredients moisturize your skin from deep within and keeps it looking clean and the pure glycerin and mint extracts give it an instant cool freshness. Give yourself a refreshing shower every day, buy the Pears Soft & Fresh Soap Bar, right here!  For Beauty tips, tricks & more visit https://bigbasket.blog/",72.0,72.0,0.0,132.17105263157896,1.0
515,Shikakai - Amla and Bhringraj,Beauty & Hygiene,Bath & Hand Wash,Godrej,20.9,22.0,Bathing Bars & Soaps,4.2,"Godrej Shikakai Amla Plus conditioning hair soap is enriched with normal ingredients, namely Shikakai, Amla and Bhringraj that cleanse condition and encourage your hair, keeping it spongy, smooth and shiny. It has Amla Plus conditioning that provides conditioning similar to shampoos. Godrej Shikakai with natural ingredients is a suitable and cheap way to have dirt free, shiny and strong hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/",20.9,20.9,5.000000000000006,55.279999999999994,0.95
525,Flucon Tablets - Fights Allergy Naturally,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,110.0,110.0,Ayurveda,4.0,"This tablet increases the immunity level of the upper respiratory system that eventually protects the body from seasonal sneezing, running nose, cold, headache, heaviness in the chest, cough etc. Ingredients that are used in these formulations control mucus secretions and ensures easy breathing. It balances Vata and Kapha Dosha which are naturally get vitiated in such disorders.",110.0,110.0,0.0,133.2,1.0
